product_name,place_name,price_after_sale,price_before_sale,sale_percentage,sold_amount,product_link,product_image,category
Economy Room for 2 guests at Tskhvarichamia,Sabaduri Hills,160.00₾,210.00₾,-24%,Sold 38,https://swoop.ge/en/offers/482503/Economy-Room-for-2-guests-at-Tskhvarichamia/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/c50c5cb0-6550-4f2c-a94d-5b4e163fd377.jpeg,Holiday
Room for 2 guests in Svanet,Posta,250.00₾,350.00₾,-29%,Sold 0,https://swoop.ge/en/offers/488161/Room-for-2-guests-in-Svanet/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/c107438a-8b2e-41ca-9c48-5934d0dac4ac.png,Holiday
Standard Room for 2 Guests,Golden Tulip Borjomi,199.00₾,270.00₾,-26%,Sold 24,https://swoop.ge/en/offers/505007/Standard-Room-for-2-Guests/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/80049bbe-c73e-463f-8243-aed1b0d444d3.png,Holiday
Enjoy a 2-Night Stay in Kakheti for 2 Guests,Chateau Mere,360.00₾,520.00₾,-31%,Sold 19,https://swoop.ge/en/offers/483562/Enjoy-a-2-Night-Stay-in-Kakheti-for-2-Guests-/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/1d5a5f38-53b3-4f88-844f-91d361f2ad6b.jpg,Holiday
Room for 2 guests with breakfast,Borjomi Palace,190.00₾,255.00₾,-25%,Sold 1,https://swoop.ge/en/offers/507280/Room-for-2-guests-with-breakfast/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/5f5cfac6-f6c2-4bc2-a4e5-addf2aba71ff.png,Holiday
"Standard room for 2 guests, Sunday to Friday inclusive.",Zuzumbo Resort & Spa,191.00₾,240.00₾,-20%,Sold 23,https://swoop.ge/en/offers/506035/Standard-room-for-2-guests-Sunday-to-Friday-inclusive/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/c8c17a0a-36c7-47c8-87c2-4dbebafe392a.png,Holiday
Standard room for 2 guests in Sighnaghi.,Sighnaghi Glamping,216.00₾,270.00₾,-20%,Sold 17,https://swoop.ge/en/offers/484645/Standard-room-for-2-guests-in-Sighnaghi-/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/67e2bdc4-dccf-4420-a184-39ce47fef517.jpg,Holiday
"Hotel Room for 3 People in Kazbegi, with a View of Gergeti",Memoir Kazbegi,280.00₾,380.00₾,-26%,Sold 1,https://swoop.ge/en/offers/487440/Hotel-Room-for-3-People-in-Kazbegi-with-a-View-of-Gergeti-/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/ab2bfd94-3aef-41bf-b642-fbf19fab1dbe.jpeg,Holiday
Cottage for 2 guests with breakfast,Chateau Kiramala Lagodekhi,160.00₾,200.00₾,-20%,Sold 0,https://swoop.ge/en/offers/493677/Cottage-for-2-guests-with-breakfast/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/80800a88-fde3-443b-8c70-3da23050d6f4.png,Holiday
Hotel room with a view of the Jvari cathedral for 2 guests in Mtskheta.,River Front Mtskheta,120.00₾,180.00₾,-33%,Sold 4,https://swoop.ge/en/offers/484665/Hotel-room-with-a-view-of-the-Jvari-cathedral-for-2-guests-in-Mtskheta-/Swoop-Holiday-/Tbilisi-and-Surroundings/,https://cdn.swoop.ge/ImagesStorage/79cf2127-f800-4a82-b770-36a00acef020.jpeg,Holiday
Cottage for 2 guests in Kvareli.,Panorama Shilda,110.00₾,150.00₾,-27%,Sold 3,https://swoop.ge/en/offers/483811/Cottage-for-2-guests-in-Kvareli-/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/2561b124-edc3-4b78-9327-30b5162c51e8.png,Holiday
Cottage for 4 people in Kvareli,Panorama Shilda,160.00₾,250.00₾,-36%,Sold 2,https://swoop.ge/en/offers/483812/Cottage-for-4-people-in-Kvareli-/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/ae0ddd33-7970-4bee-951a-2684d7ea28b2.jpeg,Holiday
Hotel Rooms in Kakheti,Chateau Bruale,80.00₾,120.00₾,-33%,Sold 160,https://swoop.ge/en/offers/304228/Hotel-Rooms-in-Kakheti-/Swoop-Holiday-/kakheti/,https://cdn.swoop.ge/ImagesStorage/be681336-7788-46b6-b28f-6f03fcbb8787.jpg,Holiday
Standard Room for 2 Guests,Rustaveli Palace Tbilisi,100.00₾,160.00₾,-38%,Sold 34,https://swoop.ge/en/offers/401563/Standard-Room-for-2-Guests-/Swoop-Holiday-/Tbilisi-and-Surroundings/,https://cdn.swoop.ge/ImagesStorage/0d3c086f-ffb1-4b42-87d6-4c8880c11044.jpg,Holiday
Deluxe Room for 2 Guests in Kazbegi,Hotel Geni Kazbegi,90.00₾,120.00₾,-25%,Sold 0,https://swoop.ge/en/offers/492769/Deluxe-Room-for-2-Guests-in-Kazbegi/Swoop-Holiday-/Mountain-Resorts/,https://cdn.swoop.ge/ImagesStorage/04ab3ed7-a9ae-4928-a89d-838bbc61f059.jpg,Holiday
